date,open,high,low,close,vol,marcket cap
"Apr 18, 2022",$36.64,$36.99,$34.71,$36.89,"$630,826,386","$4,953,629,235"
"Apr 18, 2022",$38.22,$38.40,$36.53,$36.64,"$453,227,922","$4,919,852,732"
"Apr 18, 2022",$37.35,$38.65,$37.23,$38.22,"$577,430,840","$5,131,512,304"
"Apr 18, 2022",$37.08,$37.58,$36.71,$37.35,"$477,703,263","$5,013,767,215"
"Apr 18, 2022",$38.54,$39.07,$36.52,$37.08,"$545,155,783","$4,976,095,815"
"Apr 18, 2022",$38.10,$38.68,$36.90,$38.55,"$612,735,039","$5,172,338,156"
"Apr 18, 2022",$37.01,$39.00,$36.61,$38.10,"$791,351,288","$5,112,284,496"
"Apr 18, 2022",$40.46,$40.48,$36.06,$37.01,"$871,093,293","$4,964,476,930"
"Apr 18, 2022",$41.93,$42.54,$40.47,$40.47,"$586,585,965","$5,428,556,064"
"Apr 18, 2022",$40.44,$42.91,$40.44,$41.93,"$768,029,902","$5,623,505,009"
"Apr 18, 2022",$43.48,$43.97,$39.90,$40.44,"$903,187,859","$5,422,516,946"
"Apr 18, 2022",$38.42,$44.53,$38.42,$43.47,"$1,481,567,537","$5,826,949,140"
"Apr 18, 2022",$44.52,$44.53,$38.40,$38.41,"$1,331,006,838","$5,148,980,329"
"Apr 18, 2022",$46.88,$46.88,$44.51,$44.52,"$788,788,942","$5,966,947,107"
"Apr 18, 2022",$46.74,$48.50,$44.77,$46.89,"$1,327,165,596","$6,283,222,601"
"Apr 18, 2022",$45.51,$47.79,$44.64,$46.74,"$1,055,294,208","$6,262,799,687"
"Apr 18, 2022",$47.15,$48.20,$45.35,$45.52,"$948,703,973","$6,097,772,684"
"Apr 18, 2022",$47.32,$47.95,$44.02,$47.15,"$1,517,068,863","$6,315,226,502"
"Apr 18, 2022",$49.68,$50.63,$46.69,$47.28,"$1,747,664,401","$6,330,883,294"
"Apr 18, 2022",$49.30,$51.37,$48.73,$49.69,"$1,810,886,130","$6,652,643,998"
"Apr 18, 2022",$47.26,$52.17,$47.16,$49.31,"$2,627,720,352","$6,601,160,469"
"Apr 18, 2022",$48.09,$50.83,$46.78,$47.32,"$1,865,858,263","$6,333,888,646"
"Apr 18, 2022",$47.21,$48.41,$44.89,$48.08,"$1,348,892,929","$6,435,015,641"
"Apr 18, 2022",$48.16,$48.56,$46.93,$47.20,"$1,263,387,129","$6,315,733,069"
"Apr 18, 2022",$48.51,$49.79,$45.49,$48.15,"$2,435,667,309","$6,442,529,011"
"Apr 18, 2022",$45.25,$50.37,$42.91,$48.50,"$3,409,098,627","$6,488,129,031"
"Apr 18, 2022",$45.97,$48.58,$43.48,$45.29,"$3,108,874,518","$6,056,976,553"
"Apr 18, 2022",$38.44,$46.66,$38.28,$45.97,"$2,931,573,283","$6,147,793,278"
"Apr 18, 2022",$38.20,$39.70,$36.43,$38.43,"$2,096,773,980","$5,138,881,729"
"Apr 18, 2022",$33.92,$40.63,$33.08,$38.19,"$3,452,240,744","$5,105,245,591"
"Apr 18, 2022",$28.09,$34.14,$28.07,$33.92,"$1,299,924,351","$4,533,865,462"
"Apr 18, 2022",$27.16,$28.27,$26.59,$28.09,"$337,050,448","$3,753,678,426"
"Apr 18, 2022",$27.35,$27.48,$26.81,$27.17,"$318,025,683","$3,629,543,731"
"Apr 18, 2022",$25.87,$27.54,$25.76,$27.36,"$429,310,820","$3,654,485,931"
"Apr 18, 2022",$25.93,$26.22,$25.17,$25.87,"$294,748,657","$3,455,921,536"
"Apr 18, 2022",$25.41,$26.07,$25.18,$25.93,"$311,361,318","$3,462,673,009"
"Apr 18, 2022",$26.31,$26.63,$25.28,$25.41,"$258,108,992","$3,393,031,941"
"Apr 18, 2022",$26.51,$26.97,$26.31,$26.31,"$274,383,939","$3,512,856,347"
"Apr 18, 2022",$26.69,$26.93,$26.02,$26.51,"$332,253,936","$3,538,968,345"
"Apr 18, 2022",$28.10,$28.48,$26.30,$26.69,"$385,573,406","$3,562,079,987"
"Apr 18, 2022",$26.71,$28.60,$26.58,$28.10,"$409,909,747","$3,750,140,390"
"Apr 18, 2022",$26.18,$26.90,$26.04,$26.70,"$357,119,403","$3,562,092,481"
"Apr 18, 2022",$26.61,$27.40,$25.42,$26.18,"$382,197,113","$3,492,659,052"
"Apr 18, 2022",$27.84,$28.04,$26.61,$26.61,"$292,835,138","$3,548,915,335"
"Apr 18, 2022",$27.59,$28.06,$26.77,$27.84,"$275,979,595","$3,712,036,909"
"Apr 18, 2022",$30.23,$30.78,$27.13,$27.58,"$485,774,638","$3,677,766,574"
"Apr 18, 2022",$29.54,$31.51,$29.07,$30.22,"$614,581,526","$4,029,390,943"
"Apr 18, 2022",$30.31,$30.54,$29.15,$29.54,"$423,495,882","$3,938,093,907"
"Apr 18, 2022",$30.18,$31.27,$29.59,$30.31,"$519,476,943","$4,040,299,153"
"Apr 18, 2022",$27.37,$30.12,$27.02,$30.12,"$447,172,107","$4,013,501,416"
"Apr 18, 2022",$28.88,$29.17,$27.02,$27.37,"$420,392,967","$3,647,118,907"
"Apr 18, 2022",$28.03,$29.59,$27.92,$28.88,"$475,426,003","$3,848,065,630"
"Apr 18, 2022",$26.58,$28.39,$26.02,$28.03,"$422,016,558","$3,733,391,461"
"Apr 18, 2022",$26.56,$27.04,$23.65,$26.58,"$727,754,447","$3,540,547,953"
"Apr 18, 2022",$26.69,$28.10,$26.35,$26.57,"$434,361,715","$3,537,725,035"
"Apr 18, 2022",$25.03,$26.76,$24.65,$26.69,"$474,041,889","$3,554,226,940"
"Apr 18, 2022",$27.40,$28.35,$24.97,$25.04,"$495,906,826","$3,332,758,243"
"Apr 18, 2022",$28.76,$28.76,$26.96,$27.41,"$393,217,221","$3,648,559,796"
